tariff,rule,alpha,flex_share,mean_emission_reduction_kgCO2,total_emission_reduction_kgCO2,mean_cost_change_EUR,total_cost_change_EUR,mean_shift_potential_kWh,mean_shift_out_kWh,mean_shift_in_kWh,mean_unallocated_shift_kWh,mean_max_L0_kWh,mean_max_L_shifted_kWh
rtp,C,0.25,0.2,0.016311648500612428,2.8056035421053376,-0.01785100665764338,-3.070373145114661,0.31606046511627905,0.31587500000575613,0.31587500000575613,0.00018546511052295773,1.0867093023255814,1.0895866279298907
rtp,C,0.5,0.1,0.010339002770393416,1.7783084765076675,-0.007732659819766952,-1.3300174889999157,0.15614127906976744,0.15614127906976744,0.15614127906976744,-1.0892449732877626e-18,1.0867093023255814,1.084955523255814
rtp,C,0.5,0.15,0.015496340611955288,2.6653705852563094,-0.01159544286051987,-1.9944161720094176,0.23421191860465115,0.23421191860465115,0.23421191860465115,-1.129587379705828e-18,1.0867093023255814,1.0848601744300141
rtp,C,0.5,0.2,0.02064393282612718,3.550756446093875,-0.015449195884456146,-2.657261692126457,0.31228255813953487,0.31222674419180263,0.31222674419180263,5.581394773225855e-05,1.0867093023255814,1.088556395382536
rtp,C,0.75,0.1,0.010872828930340762,1.870126576018611,-0.006690881584401482,-1.150831632517055,0.15176802325581396,0.15176802325581396,0.15176802325581396,-1.4724978342593827e-18,1.0867093023255814,1.0836866279069768
rtp,C,0.75,0.15,0.016301922837320678,2.8039307280191568,-0.010031061385377469,-1.7253425582849247,0.2276520348837209,0.2276520348837209,0.2276520348837209,-1.3312994117961543e-18,1.0867093023255814,1.0833781976971106
rtp,C,0.75,0.2,0.021717329163262255,3.7353806160811076,-0.01336233112247378,-2.29832095306549,0.3035360465116279,0.303439534889443,0.303439534889443,9.65116221849376e-05,1.0867093023255814,1.0857505814293913
rtp,C,1.0,0.1,0.01114448086639841,1.9168507090205265,-0.00527551531107851,-0.9073886335055037,0.15394244186046513,0.15394244186046513,0.15394244186046513,3.832528609716202e-19,1.0867093023255814,1.0820244186046513
rtp,C,1.0,0.15,0.01670490443898468,2.8732435635053655,-0.007906428734010497,-1.3599057422498055,0.23091366279069767,0.23091366279069767,0.23091366279069767,-1.290957005378089e-18,1.0867093023255814,1.0807587209532292
rtp,C,1.0,0.2,0.02226114306397063,3.828916607002949,-0.010536781982496931,-1.8123265009894722,0.30788488372093026,0.30788488372093026,0.30788488372093026,1.0892449732877626e-18,1.0867093023255814,1.082314534907122
tou,A,,0.1,0.0019818464155652747,0.34087758347722724,-0.0025086896279924715,-0.4314946160147051,0.1539290697674419,0.15392906976744186,0.1539290697674419,-4.034240641806528e-20,1.0867093023255814,1.0824776162790697
tou,A,,0.15,0.0029984479649364025,0.5157330499690612,-0.0037629373369068415,-0.6472252219479767,0.23089360465116276,0.23088851744467823,0.23088851744467823,5.087206484534205e-06,1.0867093023255814,1.0836922965164173
